ethn.wife,ethn.husband,age.wife,Freq,city
Azerbaijani,Azerbaijani,16-35,680,Makhachkala
Azerbaijani,Tsakhur,>50,0,Makhachkala
Azerbaijani,Tsakhur,36-50,0,Makhachkala
Azerbaijani,Tsakhur,16-35,0,Makhachkala
Azerbaijani,other,>50,9,Makhachkala
Azerbaijani,other,36-50,14,Makhachkala
Azerbaijani,other,16-35,8,Makhachkala
Tsakhur,Avar,>50,0,Makhachkala
Tsakhur,Avar,36-50,0,Makhachkala
Tsakhur,Avar,16-35,4,Makhachkala
Tsakhur,Kumyk,>50,0,Makhachkala
Tsakhur,Kumyk,36-50,0,Makhachkala
Tsakhur,Kumyk,16-35,0,Makhachkala
Tsakhur,Dargin,>50,0,Makhachkala
Tsakhur,Dargin,36-50,0,Makhachkala
Tsakhur,Dargin,16-35,0,Makhachkala
Tsakhur,Lezgian,>50,4,Makhachkala
Tsakhur,Lezgian,36-50,18,Makhachkala
Tsakhur,Lezgian,16-35,8,Makhachkala
Tsakhur,Laki,>50,0,Makhachkala
Tsakhur,Laki,36-50,0,Makhachkala
Tsakhur,Laki,16-35,0,Makhachkala
Tsakhur,Russian,>50,0,Makhachkala
Tsakhur,Russian,36-50,0,Makhachkala
Tsakhur,Russian,16-35,0,Makhachkala
Tsakhur,Tabasaran,>50,0,Makhachkala
Tsakhur,Tabasaran,36-50,0,Makhachkala
Tsakhur,Tabasaran,16-35,0,Makhachkala
Tsakhur,Nogai,>50,0,Makhachkala
Tsakhur,Nogai,36-50,0,Makhachkala
Tsakhur,Nogai,16-35,0,Makhachkala
Tsakhur,Rutulian,>50,0,Makhachkala
Tsakhur,Rutulian,36-50,0,Makhachkala
Tsakhur,Rutulian,16-35,16,Makhachkala
Tsakhur,Aghul,>50,0,Makhachkala
Tsakhur,Aghul,36-50,8,Makhachkala
Tsakhur,Aghul,16-35,0,Makhachkala
Tsakhur,Azerbaijani,>50,0,Makhachkala
Tsakhur,Azerbaijani,36-50,0,Makhachkala
Tsakhur,Azerbaijani,16-35,4,Makhachkala
Tsakhur,Tsakhur,>50,151,Makhachkala
Tsakhur,Tsakhur,36-50,464,Makhachkala
Tsakhur,Tsakhur,16-35,472,Makhachkala
Tsakhur,other,>50,0,Makhachkala
Tsakhur,other,36-50,0,Makhachkala
Tsakhur,other,16-35,0,Makhachkala
other,Avar,>50,49,Makhachkala
other,Avar,36-50,160,Makhachkala
other,Avar,16-35,127,Makhachkala
other,Kumyk,>50,81,Makhachkala
other,Kumyk,36-50,182,Makhachkala
other,Kumyk,16-35,156,Makhachkala
other,Dargin,>50,23,Makhachkala
other,Dargin,36-50,78,Makhachkala
other,Dargin,16-35,61,Makhachkala
other,Lezgian,>50,32,Makhachkala
other,Lezgian,36-50,71,Makhachkala
other,Lezgian,16-35,41,Makhachkala
other,Laki,>50,23,Makhachkala
other,Laki,36-50,50,Makhachkala
other,Laki,16-35,87,Makhachkala
other,Russian,>50,100,Makhachkala
other,Russian,36-50,141,Makhachkala
other,Russian,16-35,98,Makhachkala
other,Tabasaran,>50,5,Makhachkala
other,Tabasaran,36-50,14,Makhachkala
other,Tabasaran,16-35,18,Makhachkala
other,Nogai,>50,6,Makhachkala
other,Nogai,36-50,12,Makhachkala
other,Nogai,16-35,4,Makhachkala
other,Rutulian,>50,10,Makhachkala
other,Rutulian,36-50,0,Makhachkala
other,Rutulian,16-35,7,Makhachkala
other,Aghul,>50,3,Makhachkala
other,Aghul,36-50,3,Makhachkala
other,Aghul,16-35,0,Makhachkala
other,Azerbaijani,>50,9,Makhachkala
other,Azerbaijani,36-50,13,Makhachkala
other,Azerbaijani,16-35,3,Makhachkala
other,Tsakhur,>50,0,Makhachkala
other,Tsakhur,36-50,0,Makhachkala
other,Tsakhur,16-35,5,Makhachkala
other,other,>50,710,Makhachkala
other,other,36-50,994,Makhachkala
other,other,16-35,743,Makhachkala
